,Tweet,Label,tokenization
3907,masa pemulihan biasanya akan sangat membosankan tapi bisa juga menjadi titik utk berppikir jernih,Neutral,"['pulih', 'bosan', 'titik', 'berppikir', 'jernih']"
153,gue benci hari sabtu,Anger,"['gue', 'benci', 'sabtu']"
6567,takut di photo tuh mak,Fear,"['takut', 'photo', 'mak']"
2907,alasan kenapa suka banget sama karya mu kak karna kadang bikin aku salting sendirii  ini ngena banget meskipun aku gapunya ayang kk,Love,"['alas', 'suka', 'banget', 'karya', 'mu', 'kak', 'karna', 'kadang', 'salting', 'sendiri', 'ngena', 'banget', 'gapunya', 'ayang', 'kk']"
3502, closed plot with   angin laut yang menerpa tubuhnya terasa dingin  namun tidak melebihi dari apa yang ia biasa hadapi  mantel tebal bagian dari seragam lengkapnya juga membantu menjaga rasa hangat  ia dengar  tempat tujuan mereka tidak akan sedingin ini ,Neutral,"['closed', 'plot', 'with', 'angin', 'laut', 'terpa', 'tubuh', 'dingin', 'lebih', 'hadap', 'mantel', 'tebal', 'seragam', 'lengkap', 'bantu', 'jaga', 'hangat', 'dengar', 'tuju', 'sedingin']"
815,dh fb kau unfollow alah bijak ingat aku bodoh,Anger,"['dh', 'fb', 'kau', 'unfollow', 'alah', 'bijak', 'bodoh']"
3914,halo ryuu  apa kabar ,Neutral,"['halo', 'ryuu', 'kabar']"
6430,ga deng beneran cemas karna pd posting dikit  kelar sidang kan jd cemas,Fear,"['deng', 'beneran', 'cemas', 'karna', 'posting', 'dikit', 'kelar', 'sidang', 'cemas']"
3768,kan apa kabar ya yang lain ilang ilang,Neutral,"['kabar', 'ilang', 'ilang']"
4481,iyoo daa kawannyo pon banyak nan malu daa caliak ke norak annya,Neutral,"['iyoo', 'daa', 'kawannyo', 'pon', 'malu', 'daa', 'caliak', 'norak', 'annya']"
1537,ga enak jg jd patrick gabisa cium bau apa  wkwk ngakakkkk,Joy,"['enak', 'jg', 'patrick', 'gabisa', 'cium', 'bau', 'wkwk', 'ngakakkkk']"
2404,orang kalau hatinya udah kotor tu pasti ada aja tingkah jahatnya  itu peristiwa paling gak bisa dilupa deh dan jadi peristiwa sedih juga  alhamdulillah om ku sembuh dan bisa pulih kembali  mungkin kalo sekeluarga besar gak saling sopport nyawa om ku bisa aja hilang    ,Joy,"['orang', 'hati', 'udah', 'kotor', 'tu', 'tingkah', 'jahat', 'peristiwa', 'lupa', 'deh', 'peristiwa', 'sedih', 'alhamdulillah', 'om', 'ku', 'sembuh', 'pulih', 'keluarga', 'sopport', 'nyawa', 'om', 'ku', 'hilang']"
4570,jika anda ingin bahagia  menikahlah dengan pria yang berwibawa  wii    bawa mobil  wii    bawa duit ,Neutral,"['bahagia', 'nikah', 'pria', 'wibawa', 'wii', 'bawa', 'mobil', 'wii', 'bawa', 'duit']"
2453,grandpa vibe banget ya  dulu kakek banyak yang suka  tapi kakek jatuh hatinya sama nenek kamu ,Love,"['grandpa', 'vibe', 'banget', 'kakek', 'suka', 'kakek', 'jatuh', 'hati', 'nenek']"
5204,tl gue sepi bgt dah,Sad,"['tl', 'gue', 'sepi', 'bgt', 'dah']"
5123,maksutnya kenapa sedih ,Neutral,"['maksutnya', 'sedih']"
